method,feature_id,mean_norm_abs
IG,sleep_quality,0.3602789154934563
IG,childhood_trauma_exposure,0.3257810924703526
IG,color_blue,0.04637840594720311
IG,chicken_soup,0.035939797005369936
IG,computer,0.04100517866389921
IG,floor,0.0351325329164832
IG,window,0.03118022508369651
IG,pencil,0.016836064264660236
IG,bicycle,0.0821952233404511
IG,cloud,0.025272564814427884
Shapley_MC,sleep_quality,0.4898564901574133
Shapley_MC,childhood_trauma_exposure,0.1550707791110967
Shapley_MC,color_blue,0.02057385922968479
Shapley_MC,chicken_soup,0.04194393264398153
Shapley_MC,computer,0.03824841726327443
Shapley_MC,floor,0.0401940953169412
Shapley_MC,window,0.04774304339773763
Shapley_MC,pencil,0.04593238468073902
Shapley_MC,bicycle,0.057989198982405454
Shapley_MC,cloud,0.06244779921672589
